lake,date,temp_03.8,temp_04.6,temp_08.4,temp_13.4,temp_18.4,temp_23.3,temp_24.3,temp_sediment,do_mg_l,do_sat,light_3.8,cond_24.3,level_4.6
cliff,2019-10-14,11.770291666666667,11.199625000000001,11.2645,8.700791666666667,6.191583333333333,5.211166666666666,4.713333333333334,5.05,0.087125,0.8504585416666667,1732.0958333333333,16.7,119.23116666666667
cliff,2019-10-15,11.608833333333333,11.114458333333333,11.1875,8.702958333333333,6.188291666666666,5.217375,4.729583333333333,5.051083333333333,0.08720833333333333,0.8514049166666666,1593.5083333333334,16.716666666666665,119.47391666666667
cliff,2019-10-16,11.345458333333333,10.846,10.96925,8.752333333333333,6.182875,5.247625,4.755416666666667,5.0705833333333334,0.08695833333333333,0.849633,1633.8708333333334,16.78333333333333,118.95770833333333
cliff,2019-10-17,11.130125,10.622291666666667,10.732166666666666,8.811375,6.208458333333334,5.23975,4.75375,5.076,0.08704166666666666,0.8502723333333333,1637.025,16.6,118.804125
cliff,2019-10-18,10.979583333333332,10.438666666666666,10.538708333333334,8.932208333333334,6.199958333333333,5.233625,4.761666666666667,5.076,0.087125,0.8509528333333334,1473.7625,16.466666666666665,119.05766666666666
cliff,2019-10-19,10.780791666666667,10.29575,10.420208333333333,9.169375,6.217041666666667,5.248916666666666,4.7725,5.076,0.08704166666666666,0.8504735833333333,1010.9125,16.3,119.16016666666667
cliff,2019-10-20,10.5405,10.09975,10.210083333333333,9.632333333333333,6.206333333333333,5.227833333333334,4.765833333333333,5.076,0.08729166666666666,0.8524514583333334,1044.55,16.483333333333334,119.56683333333334
cliff,2019-10-21,10.523791666666666,9.997666666666667,10.0905,9.782208333333333,6.2158750000000005,5.253833333333334,4.767916666666666,5.09225,0.08695833333333333,0.8497691666666667,1611.0041666666668,16.7,120.05683333333333
cliff,2019-10-22,10.478833333333334,9.948375,10.02075,9.756458333333333,6.21375,5.229041666666666,4.775833333333333,5.102,0.087375,0.853293125,1990.8875,16.716666666666665,120.18383333333334
cliff,2019-10-23,10.417708333333334,9.890791666666667,9.963541666666666,9.757541666666667,6.240291666666667,5.2584583333333335,4.782916666666667,5.102,0.08691666666666666,0.8494627916666667,1651.375,16.78333333333333,119.96975
cliff,2019-10-24,10.303583333333334,9.780166666666666,9.862166666666667,9.689833333333333,6.2275,5.256,4.785,5.102,0.08708333333333333,0.8510357083333333,1837.05,16.75,120.07479166666667
cliff,2019-10-25,10.262708333333334,9.714291666666668,9.789375,9.626125,6.240333333333333,5.263416666666667,4.781666666666666,5.102,0.08695833333333333,0.8499783333333333,2083.2708333333335,16.733333333333334,119.83633333333333
cliff,2019-10-26,10.152208333333334,9.615916666666667,9.712583333333333,9.576875,6.2404166666666665,5.253791666666666,4.782916666666667,5.102,0.087,0.85017375,2112.4333333333334,16.766666666666666,119.14645833333333
cliff,2019-10-27,9.7875,9.266333333333334,9.359,9.194333333333333,6.2424583333333334,5.269583333333333,4.795833333333333,5.102,0.08716666666666666,0.8521482916666666,1914.1958333333334,16.75,119.26183333333333
cliff,2019-10-28,9.471583333333333,8.93675,9.018,8.903291666666666,6.2519583333333335,5.257208333333334,4.79875,5.102,0.08720833333333333,0.8522852083333333,1884.5958333333333,16.75,119.13583333333334
cliff,2019-10-29,9.199958333333333,8.684041666666666,8.779416666666666,8.685208333333334,6.245583333333333,5.281958333333334,4.8125,5.102,0.087,0.8507947916666666,1819.5583333333334,16.683333333333334,119.09904166666666
cliff,2019-10-30,8.857166666666666,8.331875,8.422,8.312291666666667,6.2636666666666665,5.284083333333333,4.804166666666667,5.116083333333334,0.087,0.85083825,1798.475,16.7,119.489125
cliff,2019-10-31,8.642125,8.115333333333334,8.194958333333334,8.100208333333333,6.260583333333333,5.275916666666666,4.810416666666667,5.128,0.087125,0.8518819583333334,2040.2208333333333,16.983333333333334,119.64995833333333
cliff,2019-11-01,8.517791666666666,8.003583333333333,8.065833333333334,7.979375,6.2752083333333335,5.279416666666667,4.81125,5.128,0.08729166666666666,0.8535885833333333,1656.3083333333334,17.033333333333335,119.71195833333333
cliff,2019-11-02,8.397416666666667,7.869666666666666,7.968958333333333,7.883541666666667,6.291125,5.2869166666666665,4.81625,5.128,0.08708333333333333,0.8517155,1678.2833333333333,16.866666666666667,119.55275
cliff,2019-11-03,8.310083333333333,7.811166666666667,7.892916666666666,7.817916666666666,6.286958333333334,5.282666666666667,4.812916666666666,5.128,0.08725,0.85325325,1525.3416666666667,16.95,119.30829166666666
cliff,2019-11-04,8.268666666666666,7.727833333333334,7.830416666666666,7.753333333333333,6.2975,5.290208333333333,4.82375,5.128,0.08720833333333333,0.853012,1622.6666666666667,17.05,119.37370833333334
cliff,2019-11-05,8.190208333333333,7.694500000000001,7.779375,7.6970833333333335,6.30075,5.298958333333333,4.8254166666666665,5.128,0.08716666666666666,0.8527968333333333,1267.4625,17.033333333333335,119.44508333333333
cliff,2019-11-06,8.152666666666667,7.6445,7.746041666666667,7.659583333333333,6.307,5.287833333333333,4.82375,5.129083333333334,0.08716666666666666,0.8525518333333333,1490.3583333333333,17.033333333333335,119.27595833333334
cliff,2019-11-07,8.031916666666666,7.586041666666667,7.672083333333333,7.598416666666666,6.3112916666666665,5.2876666666666665,4.8225,5.1377500000000005,0.08704166666666666,0.8513272916666667,1301.9916666666668,17.1,119.48079166666666
cliff,2019-11-08,7.964958333333334,7.497875,7.583666666666667,7.510666666666666,6.316583333333333,5.298958333333333,4.828333333333333,5.152916666666666,0.08720833333333333,0.8532015416666666,1471.9708333333333,17.1,119.67637500000001
cliff,2019-11-09,7.831916666666667,7.397666666666667,7.492958333333333,7.423875,6.334583333333334,5.28775,4.8325000000000005,5.154,0.08716666666666666,0.8525529583333333,1541.0458333333333,17.066666666666666,119.51720833333333
cliff,2019-11-10,7.773458333333333,7.313583333333334,7.431291666666667,7.366958333333334,6.362041666666666,5.29225,4.8341666666666665,5.154,0.08716666666666666,0.8526504583333333,1332.4916666666666,17.07916666666667,119.41629166666667
cliff,2019-11-11,7.7361249999999995,7.292625,7.382666666666667,7.325291666666667,6.400083333333334,5.305041666666667,4.839166666666666,5.154,0.08704166666666666,0.8517087916666667,1364.7791666666667,17.066666666666666,119.46491666666667
cliff,2019-11-12,7.669458333333333,7.246333333333333,7.353416666666667,7.293,6.431875,5.305958333333333,4.839583333333334,5.154,0.08704166666666666,0.8517287083333334,1042.3083333333334,17.150000000000002,119.28483333333334
cliff,2019-11-13,7.57725,7.187416666666667,7.279208333333333,7.2203333333333335,6.555666666666666,5.2984583333333335,4.84125,5.154,0.08716666666666666,0.852785875,788.4625,17.120833333333334,119.02395833333333
cliff,2019-11-14,7.5355,7.112375,7.229541666666666,7.167,6.680291666666666,5.295541666666667,4.8462499999999995,5.154,0.08720833333333333,0.8531308333333333,1493.4958333333334,17.175,118.927
cliff,2019-11-15,7.4645,7.0789583333333335,7.181583333333333,7.1267499999999995,6.774333333333334,5.291875,4.8429166666666665,5.154,0.087375,0.8546788333333333,815.8166666666667,17.2625,119.24820833333334
cliff,2019-11-16,7.355458333333334,6.978,7.084875,7.022666666666667,6.824833333333333,5.292208333333333,4.85125,5.154,0.087125,0.8522413333333333,554.7916666666666,17.375,119.44141666666667
